Feature.ID	WT.1.norm	WT.2.norm	WT.3.norm	GeneA.KO.1.norm	GeneA.KO.2.norm	GeneA.KO.3.norm	GeneB.KO.1.norm	GeneB.KO.2.norm	GeneB.KO.3.norm
ENSG00000277532	0	0	0	0	0	0	0	0	0
ENSG00000267248	14.1892	7.4933	22.2146	13.0627	11.9053	17.7285	12.4902	8.5517	21.2878
ENSG00000267095	0	0	0	0	0	0	0	0	0
ENSG00000167434	0	0	0	0	0	0	0	0	0
ENSG00000266960	0	0	0	0	0	0	0	0	0
ENSG00000170832	2750.5292	2994.5109	2510.249	2176.8061	2459.2968	2226.033	2194.1188	2389.581	2171.3607
ENSG00000252577	0	0	0	0.9331	0	0	0	0	0
ENSG00000241157	3.2744	2.81	1.8512	2.7992	5.9527	2.2161	4.1634	1.2217	1.774
ENSG00000275562	0	0.9367	0	0	0.8504	0	0	1.2217	0
ENSG00000271626	0	0	0.9256	0	0	0	0	0	0
ENSG00000141371	0	0	0	0	0	0	0	0	0
ENSG00000213228	4.3659	3.7467	7.4049	0.9331	0.8504	4.4321	2.0817	7.33	7.0959
ENSG00000062725	1322.8736	1389.0709	1269.0086	1433.1651	1447.3455	1461.4921	1444.7044	1474.5523	1465.3137
ENSG00000270553	4.3659	0	1.8512	0	2.5511	1.108	1.0409	0	0
ENSG00000259349	3.2744	0	2.7768	1.8661	0	3.3241	2.0817	0	4.435
ENSG00000267678	0	0	0	0	0	0	0	0	0
ENSG00000267772	0	0	0	0	0	0	0	0	0
ENSG00000266943	0	0.9367	0	0.9331	0	1.108	0	1.2217	1.774
ENSG00000170836	476.9767	524.5311	533.1502	616.7462	701.5629	591.6882	599.5315	719.562	567.676
ENSG00000200013	0	0	0	0	0	0	0	0	0
ENSG00000141376	2325.9435	2734.1186	1957.661	1331.4626	1418.4326	1275.343	1221.9618	990.7721	1224.0514
ENSG00000239932	0	0	0	0	0	0	0	0	0
ENSG00000224011	0	0.9367	0	0.9331	0.8504	0	0	0	0.887
ENSG00000252534	0	0	0	0	0	0	0	0	0
ENSG00000267083	1.0915	0	0.9256	0	0	1.108	0	0	0
