transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000015447	ENSRNOG00000011094	protein_coding	Efcab6
ENSRNOT00000104128	ENSRNOG00000011094	protein_coding	Efcab6
ENSRNOT00000109634	ENSRNOG00000053269	protein_coding	Tmem106c
ENSRNOT00000090079	ENSRNOG00000053269	protein_coding	Tmem106c
ENSRNOT00000025391	ENSRNOG00000018788	protein_coding	Btbd2
ENSRNOT00000005575	ENSRNOG00000004177	protein_coding	Myo1a
ENSRNOT00000106031	ENSRNOG00000004177	protein_coding	Myo1a
ENSRNOT00000029097	ENSRNOG00000022570	protein_coding	Pus7l
ENSRNOT00000079731	ENSRNOG00000026963	protein_coding	Hsp90b1
ENSRNOT00000029435	ENSRNOG00000026963	protein_coding	Hsp90b1
ENSRNOT00000007932	ENSRNOG00000005965	protein_coding	Irak4
ENSRNOT00000104284	ENSRNOG00000005965	protein_coding	Irak4
ENSRNOT00000084144	ENSRNOG00000057881	protein_coding	Sppl2b
ENSRNOT00000109298	ENSRNOG00000057881	protein_coding	Sppl2b
ENSRNOT00000097476	ENSRNOG00000057881	protein_coding	Sppl2b
ENSRNOT00000100592	ENSRNOG00000057881	protein_coding	Sppl2b
ENSRNOT00000112011	ENSRNOG00000005931	protein_coding	Cpq
ENSRNOT00000008211	ENSRNOG00000005931	protein_coding	Cpq
ENSRNOT00000087955	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000118906	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000048765	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000091885	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000108196	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000114732	ENSRNOG00000007286	protein_coding	Mdm1
ENSRNOT00000031297	ENSRNOG00000026982	protein_coding	Uqcc6
ENSRNOT00000113975	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000102503	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000098506	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000115642	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000090370	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000066431	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000114650	ENSRNOG00000004688	protein_coding	Rbfox2
ENSRNOT00000038032	ENSRNOG00000022507	protein_coding	Twf1
ENSRNOT00000095447	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000117832	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000098313	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000097844	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000103460	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000117804	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000113053	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000023434	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000105515	ENSRNOG00000017434	protein_coding	Mgat3
ENSRNOT00000109650	ENSRNOG00000017434	protein_coding	Mgat3
