Gene	UHR_1	UHR_2	brain_1	brain_2
AIFM1	336	357	92	104
AIFM2	260	252	85	77
AIFM3	24	18	462	437
AIG1	101	90	130	164
AIM1	136	133	16	8
AIM1L	34	31	2	1
AIM2	4	3	2	1
AIMP1	187	184	67	70
AIMP2	216	196	33	34
AIP	690	762	485	556
AIPL1	2	1	4	1
AIRE	5	2	7	7
AJAP1	189	188	84	89
AK1	253	257	459	529
AK2	795	867	106	117
AK3	208	237	154	150
AK4	352	327	160	189
AK5	25	20	994	1105
AK7	10	15	8	10
AKAP1	686	683	446	464
AKAP10	132	132	102	122
AKAP11	271	250	765	793
AKAP12	703	721	1649	1817
AKAP13	470	506	199	237
AKAP14	1	1	1	2
AKAP2	7	7	3	5
AKAP3	6	6	11	13
AKAP5	14	23	81	81
AKAP6	34	35	767	790
AKAP7	25	27	43	52
AKAP8	370	377	195	213
AKAP8L	772	792	761	752
AKAP9	309	367	238	246
AKD1	13	14	24	36
AKIRIN1	413	440	175	222
AKIRIN2	303	290	274	272
AKNA	416	412	116	132
AKNAD1	3	1	1	2
AKR1A1	616	647	190	194
AKR1B1	580	591	291	340
AKR1B10	21	15	1	1
AKR1B15	1	2	1	1
AKR1C1	167	158	15	22
AKR1C2	59	66	7	13
AKR1C3	140	163	20	30
AKR1C4	1	2	1	1
AKR1CL1	2	1	1	1
AKR1D1	11	9	1	1
AKR1E2	18	23	5	4
AKR7A2	385	412	133	177
AKR7A3	9	6	9	5
AKR7L	7	9	8	6
AKT1	1783	1768	718	786
AKT1S1	576	639	283	328
AKT2	1314	1347	824	955
AKT3	107	113	271	322
AKTIP	41	43	106	136
ALAD	301	362	626	687
ALAS1	377	441	375	434
ALAS2	234	305	5	3
ALB	5191	5506	9	10
ALCAM	264	275	297	327
ALDH16A1	454	471	116	130
ALDH18A1	874	918	138	122
ALDH1A1	138	133	343	409
ALDH1A2	605	610	8	22
ALDH1A3	88	78	79	102
ALDH1B1	427	439	50	65
ALDH1L1	56	52	477	517
ALDH1L2	48	50	41	46
ALDH2	222	219	1198	1409
ALDH3A1	30	25	6	5
ALDH3A2	280	308	281	283
ALDH3B1	327	307	25	31
ALDH3B2	28	24	1	1
ALDH4A1	424	432	393	434
ALDH5A1	223	184	387	411
ALDH6A1	65	64	198	242
ALDH7A1	245	250	190	230
ALDH8A1	3	6	16	21
ALDH9A1	331	320	197	255
ALDOA	24384	25541	9001	9816
ALDOB	4	2	8	6
ALDOC	1100	1112	7247	8085
ALG1	119	110	38	36
ALG10	20	25	2	6
ALG10B	51	35	9	19
ALG11	20	35	8	8
ALG12	240	307	87	93
ALG13	174	212	64	88
