Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
ABR	2087.96090466408	2.35974607855868	30.3760244684138	1.13909227950062e-202	6.31714674654836e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84
ABRA	2.45570070186432	1.25616530932805	0.975796609380562	0.32916526533211	0.432236758052423	2	1	4	2	1.68	0.81	4.98	2.35
ABT1	173.293295157748	-0.938511206836336	-4.68052934280495	2.86135152374148e-06	7.65414550479686e-06	281	271	81	116	236.29	219.94	100.93	136.01
ABTB1	554.05899655058	3.10690264285445	22.7828234796151	6.78725925533061e-115	1.74942067147559e-113	149	129	749	898	125.29	104.69	933.33	1052.92
ABTB2	194.938402858036	0.202022338266886	1.12634531728887	0.260019383003373	0.353822784425936	220	219	154	192	185	177.73	191.9	225.12
ACAA1	417.448075485753	0.474560408571463	3.83965239517551	0.000123208631231801	0.000284081767671676	410	436	387	417	344.77	353.84	482.24	488.94
ACAA2	164.737701280532	-1.23560928781738	-6.10238911722512	1.04494600190096e-09	3.56473508754664e-09	287	273	83	79	241.34	221.56	103.43	92.63
ACACA	758.223911994112	-0.0829190833966364	-0.815931677992692	0.41453921296273	0.526322581029038	965	922	628	589	811.47	748.27	782.55	690.61
ACACB	167.801844015441	1.33756392946274	6.76103270145504	1.37011591587507e-11	5.18653630881106e-11	103	127	202	196	86.61	103.07	251.71	229.81
ACAD10	162.062145133155	-0.958327648854973	-4.78952561431712	1.67176058628531e-06	4.55917274155113e-06	242	277	89	93	203.5	224.8	110.9	109.04
ACAD11	153.032953707214	-0.202768917948193	-1.00486924294358	0.314959816365818	0.416458058314375	190	207	104	132	159.77	167.99	129.59	154.77
ACAD8	193.346803148538	0.600128139527876	3.39192888656901	0.000694024504954232	0.00147620866971256	180	192	185	201	151.36	155.82	230.53	235.68
ACAD9	271.879152665489	-0.254829643216918	-1.67330526694577	0.0942672161341699	0.143647439341839	362	354	205	205	304.4	287.3	255.45	240.37
ACADL	4.00454003919623	1.32573898809343	1.19675699812072	0.231401283613873	0.319381455296989	3	2	2	8	2.52	1.62	2.49	9.38
ACADM	123.934419134136	-0.0141510462525273	-0.062809045462784	0.949918562855467	0.977884560160012	132	170	103	101	111	137.97	128.35	118.42
ACADS	146.991416367197	-0.541927330724637	-2.64369592171303	0.00820062906057939	0.0152321419773793	216	206	95	103	181.63	167.18	118.38	120.77
ACADSB	113.522509992221	0.0934632928110071	0.410249096310321	0.681623228959558	0.767304242936327	128	138	95	99	107.63	112	118.38	116.08
ACADVL	1310.5099212003	-0.650400207423419	-8.34194754747519	7.30768691685982e-17	3.49175635600371e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02
ACAN	20.1616727278284	2.27629357751949	3.93877894168096	8.189734217358e-05	0.000191806358387816	8	8	24	32	6.73	6.49	29.91	37.52
ACAP1	46.2409509498921	-1.37896039024974	-3.63683785878058	0.000276005546421491	0.000613984037425985	87	75	23	19	73.16	60.87	28.66	22.28
ACAP2	143.66738756063	-0.295052376713962	-1.41001547529442	0.158535113458001	0.228909589205867	197	186	113	100	165.66	150.95	140.81	117.25
ACAP3	1733.17209631972	1.91824802007497	25.0615775322495	1.30564284545983e-138	4.34955134962118e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11
ACAT1	210.091111583236	-0.84261040944433	-4.80011324957129	1.58575931692772e-06	4.3358220104354e-06	313	341	115	134	263.2	276.74	143.3	157.12
ACAT2	250.756859006246	-1.1131071263397	-6.82850546684258	8.58038009983448e-12	3.27940506849611e-11	404	427	130	132	339.72	346.54	161.99	154.77
ACBD3	221.518483819259	-0.628106391469838	-3.71454693434831	0.000203568086413051	0.000458854383191024	310	342	138	150	260.68	277.56	171.96	175.88
ACBD4	154.024793708428	0.670207566870722	3.1494031953813	0.00163604301510837	0.00334021790634233	163	124	139	175	137.07	100.63	173.21	205.19
ACBD5	180.539577577627	1.05852946506419	5.54020607453883	3.02115916912563e-08	9.36579037078028e-08	149	134	180	225	125.29	108.75	224.3	263.82
ACBD6	244.996586662482	-0.995301291158469	-6.02993513693076	1.64025498446895e-09	5.52033445056059e-09	383	408	123	148	322.06	331.12	153.27	173.53
ACBD7	106.272972914647	2.67432499353073	9.83938051538478	7.61784466163649e-23	4.51844843011067e-22	30	39	144	161	25.23	31.65	179.44	188.78
ACCN1	125.422401297094	6.65029931988628	10.2585776502502	1.08289992094124e-24	6.78042208563012e-24	2	3	197	215	1.68	2.43	245.48	252.09
ACCN2	329.60774277413	2.08921620439721	13.9981424262892	1.59998226253515e-44	1.60436808634389e-43	152	151	413	472	127.82	122.55	514.64	553.43
ACCN3	144.810477146733	1.66142997115145	7.75108408207098	9.1111329595229e-15	3.99428373256614e-14	75	93	173	192	63.07	75.48	215.58	225.12
ACCN4	79.761669766389	0.748701551437803	2.72489206757378	0.00643225104162625	0.0121527889664099	64	80	77	89	53.82	64.93	95.95	104.35
ACCN5	1.91555450204936	1.42656393518652	1.02529775841695	0.305222713161448	0.404962436336546	1	1	2	3	0.84	0.81	2.49	3.52
ACCS	34.8258800761494	-1.96901895332853	-4.29241511566987	1.76740125830873e-05	4.39298402398388e-05	72	63	9	14	60.54	51.13	11.21	16.42
ACCSL	1.32929644747812	0.812204616761749	0.548298104706253	0.58348722857444	0.684022803209098	1	1	2	1	0.84	0.81	2.49	1.17
ACD	246.741543121312	-0.306378179426516	-1.86793883791763	0.0617705965951696	0.0982441712736887	330	331	159	207	277.5	268.63	198.13	242.71
ACE	73.7119595460392	0.188252191217731	0.612608370004391	0.540135322525188	0.651684263927067	82	85	45	86	68.95	68.98	56.07	100.84
ACE2	2.46001196964256	-1.29280386902304	-0.980855060238059	0.326664221534226	0.429753566776682	4	5	1	1	3.36	4.06	1.25	1.17
ACER2	12.7553837051484	0.631987358866531	0.968298535996886	0.332895295724826	0.43614121601196	11	13	10	16	9.25	10.55	12.46	18.76
ACER3	86.1304211151235	0.63657471553143	2.42663437985793	0.0152396053525749	0.0269989543649696	82	81	79	95	68.95	65.74	98.44	111.39
ACHE	276.988722470708	4.14204916965926	19.0567877575874	5.77110237387555e-81	1.02692150940936e-79	40	31	411	458	33.64	25.16	512.15	537.01
ACIN1	1303.55680618794	-0.7205089852304	-9.22098327403218	2.94388103778457e-20	1.60270478250538e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95
ACLY	1364.82571101809	-1.1933773602213	-15.1651815533062	6.01324013787096e-52	6.92396210064052e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07
ACMSD	2.91492885352595	1.12435941237899	0.930390480579717	0.352168945549014	0.45714191908239	2	2	2	5	1.68	1.62	2.49	5.86
ACN9	50.6226598023579	-1.30173052859494	-3.65794047854005	0.000254250069908352	0.000567579489472676	85	90	23	25	71.48	73.04	28.66	29.31
ACO1	278.32308056564	-0.878608502121958	-5.58682098678286	2.31263893445425e-08	7.20809729824493e-08	425	449	142	183	357.38	364.39	176.95	214.57
ACO2	909.847122768077	1.45216927560504	15.3012779140167	7.49699934126487e-53	8.77587209043326e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85
ACOT1	16.5665320921104	0.578949570919203	0.994930182113556	0.319770222237024	0.422143741230666	12	20	17	16	10.09	16.23	21.18	18.76
ACOT11	24.6213494724279	0.803352480072611	1.66972632892513	0.0949735220601308	0.144589561905346	24	19	26	26	20.18	15.42	32.4	30.49
ACOT12	1.42355527201841	-0.320143823027272	-0.21934587236617	0.826380630843967	0.879593954626126	1	3	1	1	0.84	2.43	1.25	1.17
ACOT13	117.175212081936	-0.304878241406576	-1.2968984537625	0.194666128612776	0.274576531104273	140	174	94	79	117.73	141.21	117.13	92.63
ACOT2	57.5011578736944	-0.8115681768687	-2.47905111383824	0.0131732426855968	0.0236245851205906	83	95	30	39	69.79	77.1	37.38	45.73
ACOT4	16.5725733779969	1.53345849021431	2.56458819051852	0.0103298324518877	0.0188954777286093	10	10	23	18	8.41	8.12	28.66	21.11
ACOT6	2.24547659805089	1.67670063128033	1.23569008944208	0.216573782808095	0.301630289689236	1	1	4	2	0.84	0.81	4.98	2.35
ACOT7	941.223493928586	1.09446328406606	12.2468231236158	1.74706498245836e-34	1.40340667636499e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22
ACOT8	158.691591352766	0.696477196886629	3.57520096329192	0.00034995897597441	0.00077110154534753	141	152	160	165	118.57	123.36	199.38	193.47
ACOT9	82.603056445434	-1.37639822348837	-4.63969664323289	3.48920985032318e-06	9.27497900682608e-06	135	155	27	49	113.52	125.79	33.64	57.45
ACOX1	298.081692225579	0.336908803653664	2.33044788575863	0.0197824913736022	0.0344189656003532	304	334	266	285	255.63	271.06	331.46	334.17
ACOX2	24.3869926452895	-0.819808642691778	-1.64829654070758	0.0992918342665084	0.150568341152545	31	45	13	16	26.07	36.52	16.2	18.76
ACOX3	78.2273663818733	0.176003517381956	0.626693536820039	0.530860141296793	0.642367786752391	86	92	56	82	72.32	74.66	69.78	96.15
ACOXL	3.48884747911358	-0.765044946341355	-0.667059701204794	0.504733999796889	0.614270642619093	4	7	3	1	3.36	5.68	3.74	1.17
ACP1	358.709483733249	-1.01438591586669	-7.36434489095652	1.78018905069947e-13	7.38233183396671e-13	555	608	189	204	466.7	493.43	235.51	239.19
ACP2	272.738883727595	0.378121637683737	2.47904463460009	0.0131734819879142	0.0236245851205906	293	281	236	275	246.38	228.05	294.08	322.44
ACP5	54.7311846749537	-3.85249840028876	-7.59500304606043	3.07785195210719e-14	1.31921811250525e-13	117	132	7	4	98.38	107.13	8.72	4.69
ACP6	71.4776118805881	-1.87753892815282	-5.82817271871135	5.60375653427449e-09	1.82368959443917e-08	125	148	28	22	105.11	120.11	34.89	25.8
ACPL2	102.194468158196	-0.461772259440302	-1.89376251756914	0.058256538914819	0.0930597819312804	136	151	73	69	114.36	122.55	90.97	80.9
ACPP	2.6629041627345	-1.42596929044052	-1.09598423241678	0.273085674777859	0.368440010328707	4	6	1	1	3.36	4.87	1.25	1.17
ACPT	3.35046367513587	-0.255970245056422	-0.225463689021287	0.821618570123903	0.87792542640697	3	6	2	3	2.52	4.87	2.49	3.52
ACR	2.42997225678486	1.25765899290348	0.978689782791622	0.327733281947829	0.43065366739511	1	2	3	3	0.84	1.62	3.74	3.52
ACRBP	11.0570959402024	0.71191602323772	1.02856925058748	0.303682133633547	0.404017453208653	10	10	10	13	8.41	8.12	12.46	15.24
ACRC	16.2268201778196	1.06570851088838	1.76532196258321	0.0775096704107754	0.120525541613159	12	13	12	25	10.09	10.55	14.95	29.31
ACRV1	5.35252229846395	0.606351307181587	0.631941743023203	0.527424945409582	0.6386985810785	6	4	3	8	5.05	3.25	3.74	9.38
ACSBG1	190.619356307211	4.5861528606317	15.9455027101019	3.06166451121983e-57	3.89558410250326e-56	22	14	284	323	18.5	11.36	353.89	378.72
