Feature.ID	UHR_1	UHR_2	brain_1	brain_2
CILP	4.2	5.68	11.21	7.04
CILP2	100.91	81.97	12.46	11.73
CINP	141.27	137.97	129.59	121.94
CIR1	72.32	67.36	90.97	76.21
CIRBP	1115.87	1119.96	2846.1	3037.99
CIRH1A	443.15	452.86	166.98	160.63
CISD1	84.09	74.66	130.84	143.05
CISD2	86.61	100.63	114.64	109.04
CISD3	178.27	182.6	128.35	139.53
CISH	198.45	234.54	22.43	17.59
CIT	580.22	604.62	1257.32	1253.42
CITED1	33.64	25.97	46.11	46.9
CITED2	694.58	646.01	498.44	562.81
CITED4	195.93	155.01	153.27	165.32
CIZ1	1309.28	1318.8	965.73	1112.72
CKAP2	249.75	236.17	68.54	77.39
CKAP2L	113.52	101.45	1.25	3.52
CKAP4	1037.67	1026.63	244.24	204.02
CKAP5	1247.05	1315.55	844.86	899.32
CKB	2147.65	1989.16	15192.48	16492.61
CKLF	183.32	167.99	33.64	49.25
CKM	3.36	3.25	4.98	4.69
CKMT1A	2.52	4.06	79.75	58.63
CKMT1B	1.68	3.25	98.44	119.6
CKMT2	2.52	4.87	28.66	34
CKS1B	98.38	113.62	3.74	8.21
CKS2	258.16	262.14	9.97	9.38
CLASP1	570.13	597.31	965.73	1025.95
CLASP2	175.75	192.34	1182.55	1157.27
CLCA1	1.68	0.81	1.25	1.17
CLCA2	0.84	2.43	3.74	4.69
CLCA3P	1.68	1.62	1.25	2.35
CLCA4	0.84	0.81	23.68	22.28
CLCC1	164.82	154.2	176.95	206.36
CLCF1	49.61	64.11	21.18	10.55
CLCN1	2.52	1.62	2.49	4.69
CLCN2	84.93	88.46	124.61	116.08
CLCN3	209.38	229.67	479.75	460.8
CLCN4	37.84	30.03	1099.06	1273.35
CLCN5	115.2	133.91	78.5	84.42
CLCN6	253.11	231.3	826.17	848.9
CLCN7	1029.26	999.04	988.16	983.74
CLCNKA	12.61	8.12	34.89	39.87
CLCNKB	6.73	4.06	24.92	22.28
CLDN1	63.07	49.51	6.23	12.9
CLDN10	24.39	16.23	79.75	87.94
CLDN11	15.14	23.54	1552.64	1615.73
CLDN12	150.52	155.01	117.13	140.7
CLDN14	11.77	8.93	1.25	1.17
CLDN15	106.79	95.77	62.31	64.49
CLDN16	0.84	0.81	1.25	3.52
CLDN18	2.52	6.49	3.74	7.04
CLDN19	10.09	8.12	2.49	2.35
CLDN2	3.36	3.25	2.49	3.52
CLDN20	1.68	5.68	4.98	5.86
CLDN23	15.98	13.8	4.98	7.04
CLDN3	370.84	321.38	41.12	30.49
CLDN4	599.56	598.94	13.71	18.76
CLDN5	3.36	4.87	861.06	945.05
CLDN6	163.97	180.17	7.48	8.21
CLDN7	121.93	126.6	3.74	2.35
CLDN9	42.04	41.39	119.63	106.7
CLDND1	179.95	201.27	1490.34	1518.41
CLDND2	10.93	8.93	11.21	10.55
CLEC10A	0.84	1.62	1.25	3.52
CLEC11A	107.63	127.42	112.15	139.53
CLEC12B	0.84	0.81	1.25	2.35
CLEC14A	3.36	3.25	113.4	89.11
CLEC16A	299.36	327.87	585.67	578.05
CLEC17A	0.84	0.81	6.23	3.52
CLEC18A	0.84	0.81	3.74	1.17
CLEC18B	1.68	1.62	4.98	3.52
CLEC18C	2.52	0.81	1.25	1.17
CLEC1A	1.68	0.81	8.72	4.69
CLEC2B	31.11	32.46	8.72	8.21
CLEC2D	26.07	31.65	4.98	2.35
CLEC2L	2.52	7.3	306.54	357.62
CLEC3A	0.84	1.62	3.74	1.17
CLEC3B	35.32	34.9	132.09	194.64
CLEC4A	5.05	4.06	3.74	2.35
CLEC4D	1.68	2.43	1.25	2.35
CLEC4E	0.84	0.81	4.98	2.35
CLEC4F	5.89	2.43	3.74	2.35
CLEC4G	0.84	2.43	74.77	83.25
CLEC4GP1	1.68	2.43	139.56	111.39
CLEC4M	0.84	0.81	2.49	5.86
CLEC5A	0.84	0.81	6.23	5.86
CLEC7A	10.93	8.12	7.48	4.69
CLEC9A	0.84	0.81	6.23	9.38
CLGN	48.77	46.26	24.92	25.8
CLIC1	1733.09	1769.22	94.7	110.22
CLIC2	28.59	36.52	9.97	9.38
CLIC3	79.04	83.59	7.48	4.69
CLIC4	600.4	598.94	411.21	508.87
CLIC5	2.52	2.43	38.63	31.66
CLIC6	34.48	25.97	9.97	18.76
CLINT1	483.52	468.28	209.35	205.19
CLIP1	250.59	256.46	595.64	595.64
CLIP2	410.36	426.89	2890.96	3025.09
CLIP3	157.25	136.34	4831.14	4999.61
CLIP4	72.32	60.06	233.02	254.44
CLK1	150.52	150.14	358.88	302.51
CLK2	356.54	413.09	191.9	255.61
CLK2P	55.5	69.79	22.43	26.97
CLK3	321.22	294.6	203.11	232.16
CLK4	25.23	42.2	201.87	195.81
CLMN	83.25	119.3	356.39	338.86
CLN3	264.04	262.95	113.4	93.8
CLN5	68.95	88.46	78.5	93.8
CLN6	473.42	455.29	155.76	222.78
CLN8	199.29	241.85	463.55	510.04
CLNK	1.68	0.81	1.25	1.17
CLNS1A	454.08	489.38	164.49	207.54
CLOCK	79.89	73.85	113.4	137.18
CLP1	103.43	98.2	22.43	34
CLPB	246.38	232.92	280.37	264.99
CLPP	440.63	458.54	302.8	274.37
CLPS	1.68	0.81	2.49	1.17
CLPTM1	868.65	865.94	1779.43	1824.44
CLPTM1L	1023.37	1003.1	281.62	321.27
CLPX	187.52	196.4	125.86	109.04
CLRN1OS	1.68	0.81	1.25	1.17
CLRN3	0.84	0.81	2.49	2.35
CLSPN	191.72	195.59	7.48	5.86
CLSTN1	1662.45	1626.38	10184.39	10631.2
CLSTN2	31.95	42.2	158.25	175.88
CLSTN3	460.81	483.69	4008.71	4078.01
CLTA	617.22	594.07	748.91	814.9
CLTB	426.33	376.57	1324.61	1343.7
CLTC	2472.24	2540.21	2388.78	2525.6
CLTCL1	118.57	103.88	73.52	70.35
CLU	2620.23	2694.41	25431.7	26448.45
CLUAP1	55.5	60.06	90.97	85.59
CLUL1	5.05	6.49	21.18	9.38
CLVS1	0.84	0.81	103.43	107.87
CLVS2	0.84	0.81	160.75	171.19
CLYBL	28.59	34.9	38.63	35.18
CMA1	1.68	1.62	1.25	1.17
CMAH	12.61	7.3	17.45	14.07
CMAS	230.41	244.28	305.3	290.78
CMBL	252.27	237.79	119.63	109.04
CMC1	54.66	36.52	34.89	25.8
CMIP	614.7	652.5	1045.48	1013.05
CMKLR1	17.66	20.29	27.41	19.93
CMPK1	361.59	343.29	320.25	338.86
CMPK2	26.07	37.33	34.89	46.9
CMTM1	23.55	22.72	28.66	32.83
CMTM2	0.84	1.62	1.25	3.52
CMTM3	263.2	271.88	52.34	38.69
CMTM4	338.04	346.54	802.49	898.15
CMTM5	1.68	0.81	247.97	263.82
CMTM6	244.7	218.31	56.07	57.45
CMTM7	114.36	112.81	19.94	14.07
CMTM8	33.64	39.77	21.18	15.24
CMYA5	17.66	15.42	41.12	56.28
CN5H6.4	7.57	6.49	11.21	10.55
CNBP	1437.93	1449.46	1263.55	1309.7
CNDP1	3.36	1.62	564.48	675.37
CNDP2	677.76	715.8	1033.02	1078.71
CNFN	19.34	13.8	13.71	5.86
CNGA1	1.68	1.62	1.25	1.17
CNGA3	0.84	0.81	4.98	9.38
CNGA4	0.84	2.43	6.23	5.86
CNGB1	6.73	8.93	24.92	31.66
CNGB3	0.84	0.81	1.25	2.35
CNIH	200.13	201.27	132.09	110.22
CNIH2	57.18	67.36	519.62	533.49
CNIH3	29.43	38.96	88.47	85.59
CNIH4	124.45	131.47	39.88	23.45
CNKSR1	55.5	53.56	54.83	46.9
CNKSR2	16.82	21.1	737.69	701.16
CNKSR3	85.77	86.84	51.09	60.97
CNN1	50.45	40.58	78.5	70.35
CNN2	1004.03	1000.66	59.81	90.28
CNN3	648.33	624.1	644.23	667.16
CNNM1	28.59	38.96	388.78	419.76
CNNM2	156.41	163.94	215.58	219.26
CNNM3	420.45	456.91	457.32	474.87
CNNM4	175.75	189.1	286.6	309.54
CNO	176.59	158.26	72.27	84.42
CNOT1	1544.73	1604.47	529.59	562.81
CNOT10	165.66	171.24	63.55	62.14
CNOT2	248.91	239.41	230.53	257.95
CNOT3	529.76	506.42	411.21	430.31
CNOT4	101.75	123.36	132.09	146.56
CNOT6	240.5	237.79	214.33	195.81
CNOT6L	105.11	111.18	153.27	127.8
CNOT7	200.97	219.94	159.5	141.87
CNOT8	227.04	243.47	166.98	209.88
CNP	1079.71	1050.17	9467.88	9877.28
CNPY1	2.52	1.62	28.66	28.14
CNPY2	423.81	377.38	221.81	253.26
CNPY3	520.51	569.72	290.34	329.48
CNPY4	100.91	108.75	52.34	70.35
CNR1	3.36	4.06	397.51	430.31
CNRIP1	92.5	107.13	740.18	705.85
CNST	132.02	144.46	428.66	397.48
CNTD1	9.25	5.68	9.97	10.55
CNTD2	4.2	8.12	49.84	68.01
CNTF	0.84	0.81	1.25	2.35
CNTFR	63.07	55.19	880.99	873.52
CNTLN	53.82	49.51	17.45	37.52
CNTN1	13.45	24.35	1084.11	1102.17
CNTN2	5.05	3.25	4166.97	4464.94
