Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
50486_at	8.93188	6.28919	6.84468	6.89749	7.59881	8.46417	9.08	8.39233	7.4147
50487_at	5.46664	6.17937	5.16918	5.41791	5.46288	5.29668	5.51749	5.69322	5.77131
50488_at	7.28006	7.68257	7.25106	7.43769	8.25838	7.18358	7.00584	7.5836	7.42048
50489_at	5.94643	5.2083	4.82801	5.01417	5.10088	5.25919	4.77693	5.42122	5.15487
5048_at	7.32121	7.24564	7.38314	6.92482	6.84873	7.01418	6.87076	7.0722	7.3184
5049_at	5.15727	4.76568	5.43439	5.40699	5.15134	5.25878	5.80084	5.72742	5.00506
50506_at	4.44353	4.44268	4.51224	4.59382	4.56691	4.54376	4.38866	4.53687	4.58693
50507_at	7.14089	6.91076	4.73709	5.29026	4.56352	5.64832	4.90214	5.51139	6.35426
50508_at	4.15838	4.13411	4.43298	4.45902	4.08689	4.1844	4.20706	4.0852	4.18747
50509_at	7.23673	8.01963	6.69226	7.05354	6.73784	7.31918	6.87887	7.2387	7.72633
5050_at	8.64277	8.51342	8.53129	8.33008	8.60509	7.53993	8.18218	8.24138	8.37049
50512_at	4.45701	4.77929	5.97599	5.29137	5.60072	4.44667	5.02326	4.75516	4.83741
50514_at	3.93956	4.00272	3.88439	3.95917	4.12658	3.94316	4.09699	4.09406	3.92202
50515_at	5.17236	5.105	5.43229	6.82333	6.45873	5.32722	4.88606	5.55172	5.44793
5051_at	5.96914	5.93904	6.34802	5.822	6.09348	6.00379	6.40442	5.98058	5.93974
5052_at	10.57364	10.16799	11.11729	11.11729	10.8077	10.71262	11.45027	10.97578	10.68528
5053_at	3.58926	3.82549	4.15197	3.78038	3.68028	3.5876	4.40397	3.78781	3.78497
5054_at	5.62174	6.12999	5.72287	6.14961	6.23602	6.26369	5.48797	5.94808	6.05778
5055_at	4.68531	4.48528	4.2214	4.21874	4.13319	4.43118	3.99899	4.14206	4.81989
5058_at	4.32259	3.87657	4.45157	4.20622	4.15732	4.24092	4.24188	4.0673	6.16104
50613_at	4.30354	4.64956	4.43262	4.41339	4.31097	4.29663	4.30773	4.56242	4.56678
50615_at	4.85484	4.76322	4.82512	5.25101	5.36414	4.75614	4.71727	4.8772	4.83156
50616_at	5.87178	6.41879	6.12621	5.83792	5.96874	6.01428	5.91926	6.08068	6.12007
50617_at	5.18226	5.6962	4.71601	5.64357	4.2272	4.54053	4.44657	5.04577	4.45236
50618_at	6.31803	6.46602	6.36452	6.46086	6.26003	6.277	6.38227	6.44963	6.53514
50619_at	6.07715	6.12766	6.47442	6.95284	6.94761	6.25747	6.31284	6.3978	6.3566
50626_at	5.58596	5.82648	6.15359	5.98662	5.36551	5.39037	5.56268	5.60663	5.92726
50628_at	6.79258	6.71271	6.84312	6.50837	6.60997	6.4431	6.5514	6.83292	6.80837
5062_at	7.27513	8.24333	7.18019	8.05796	7.45627	7.58511	7.38528	7.46137	7.54369
50632_at	4.33198	4.50388	4.47174	4.29893	4.70377	4.33104	4.33739	4.79011	4.44594
5063_at	6.3372	7.03638	5.81158	6.55718	7.6937	6.68534	6.3162	6.78192	6.31677
50649_at	4.87017	5.45719	4.96331	5.06948	4.97138	4.96788	4.68729	5.17704	4.86651
5064_at	7.35482	7.88279	7.34696	6.8427	7.43018	7.35501	6.99952	7.78492	7.32506
50650_at	8.03227	6.89492	7.75843	7.34712	7.94421	8.16267	9.74913	7.63033	8.01841
5066_at	9.5277	9.07489	8.04268	7.95977	8.03164	9.52201	7.74121	8.94546	9.40327
50674_at	4.77106	4.57891	4.94666	4.77294	4.80157	4.68029	4.73677	4.94751	4.79566
5068_at	4.04482	4.56664	4.54537	4.16883	3.99126	4.09551	4.25019	3.95958	4.18397
5069_at	4.81989	5.02036	4.72672	4.92972	5.05081	4.9977	4.92026	4.96527	4.8049
506_at	10.43902	10.39972	11.05043	10.54246	10.39274	10.61769	10.84944	10.87654	10.40781
50700_at	5.31053	5.50929	5.41694	5.5777	5.42222	5.51122	5.40094	5.2704	5.31561
50717_at	7.02401	6.73946	6.70879	6.1809	6.94192	6.987	7.39313	6.7585	6.83313
5071_at	4.02084	4.3709	4.20537	3.97627	4.20384	4.07329	4.12868	4.55417	4.3545
5073_at	8.00143	8.05366	7.67213	7.33723	7.09948	7.67192	7.66246	7.10819	7.97638
5074_at	5.96701	5.8552	6.58263	6.04193	5.89729	5.516	5.90504	6.06244	6.21803
5075_at	5.55853	5.88603	5.72437	5.74103	5.6264	5.54066	5.42222	5.803	5.69213
5076_at	5.08718	5.56402	5.30539	4.8938	4.97671	5.10444	4.95456	5.00017	5.06232
5077_at	5.08062	5.07333	5.28759	5.2741	5.105	5.12878	5.17077	5.11575	5.0356
5078_at	4.9977	5.17372	5.07827	5.08514	5.13222	5.05398	5.04084	5.28858	5.0741
5079_at	5.76253	5.98851	5.94243	5.71588	5.98362	5.80358	5.85914	6.18707	5.68118
50805_at	5.08229	6.45228	5.45377	4.9627	6.12249	5.12391	5.19984	5.80383	5.68212
50807_at	6.14089	5.83682	5.01018	5.90734	7.10707	6.20619	6.00032	6.09881	6.3635
50809_at	6.75264	7.30732	6.9841	7.5441	7.57282	7.02346	7.37336	7.004	7.56986
5080_at	5.35428	5.3343	5.62192	6.15264	6.32414	5.25994	5.28454	5.4716	5.43112
50810_at	7.57181	6.62358	7.30548	6.36379	7.15191	7.68573	7.7714	8.30858	8.42399
50813_at	8.75091	8.83492	8.56317	8.13651	8.13924	8.61288	8.72364	8.34384	8.44528
50814_at	6.34421	6.47841	6.14274	6.14003	5.5928	5.79038	6.2351	5.46489	5.8093
5081_at	5.56547	5.52768	5.63569	5.59538	5.6443	6.03977	5.60663	6.13604	5.90156
5082_at	5.9648	5.90366	5.7457	5.70859	5.98571	5.70732	5.80896	5.70352	5.83127
50831_at	5.26069	5.93347	5.1819	5.33368	5.38109	5.40346	5.24978	5.43309	5.75043
50832_at	4.85751	5.03547	5.0095	4.67338	4.84106	4.66999	4.69436	4.8976	5.014
50833_at	4.54139	5.14161	4.43069	4.68573	4.82347	4.73992	4.54376	4.78618	4.54037
50834_at	6.45921	6.76218	6.49519	6.47316	6.51199	6.13638	6.20811	6.7712	6.33351
50835_at	3.90855	3.98517	3.80113	3.81333	3.91334	3.92172	3.91483	3.89561	3.89172
50836_at	4.15011	4.2968	4.24784	4.52958	4.49021	4.3202	4.28973	4.40374	4.27098
50837_at	4.15907	4.41592	4.2353	4.35928	4.37402	4.29309	4.24586	4.53753	4.25814
50838_at	4.76946	5.05301	4.82444	5.09479	4.88582	4.72602	4.81314	5.03188	4.78261
50839_at	3.8574	3.80294	3.6976	3.77871	3.95436	3.73338	3.82986	3.89486	3.80113
5083_at	4.99223	5.38241	4.92798	5.31997	5.39234	5.11813	5.19179	5.02519	5.44856
50840_at	4.83208	5.34392	4.73816	4.88661	4.75157	4.6041	4.64533	4.83658	5.16918
50848_at	7.28379	7.28519	7.34429	7.74244	7.58511	7.47911	7.08851	7.29842	7.64119
