Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
22838_at	8.4767	8.4913	7.5194	8.3411	8.3542	8.3331	8.6751	8.2966	7.9814
22839_at	6.5327	6.615	6.2669	6.722	7.0505	6.2532	6.2817	6.4457	6.3515
22841_at	5.9953	5.8494	6.3207	5.6956	5.71	6.3544	6.1083	5.9155	6.3213
22843_at	4.6467	5.792	4.9045	4.8656	4.7533	4.6413	4.7667	5.4623	4.7122
22844_at	4.4226	4.7808	4.6501	4.9365	4.6389	4.5482	4.7367	4.4276	4.6371
22845_at	7.0321	7.0545	7.4165	7.4278	6.9758	7.0905	7.0975	7.3843	6.8387
22846_at	6.9179	6.4972	6.4152	6.4723	7.0539	6.4754	5.7727	6.4861	6.6089
22848_at	4.6934	5.2295	4.5938	4.704	4.7328	4.6188	4.5223	4.8422	4.7385
22849_at	4.0702	4.1556	4.1284	4.0484	3.8972	4.3432	4.2667	3.9464	4.3096
22850_at	6.4849	6.6899	6.8728	6.9918	6.7765	6.8042	7.2001	7.1344	6.662
22852_at	5.1786	5.2436	5.1454	4.805	5.0627	5.162	5.097	5.444	5.0928
22853_at	4.4759	4.8571	4.8853	4.9079	4.883	4.6494	4.6142	5.1171	4.7685
22856_at	7.907	7.932	7.2071	6.7408	7.5319	8.7004	8.2651	7.6123	7.8152
22858_at	3.6868	3.7003	3.9067	3.8526	3.686	3.7725	4.1907	3.6669	3.7155
22859_at	6.948	6.9387	6.9147	6.9164	7.1597	7.0419	7.1302	7.5149	6.7467
22861_at	5.3037	5.5869	5.2441	5.7745	5.9724	5.4953	5.2099	5.6462	5.3819
22862_at	6.8314	6.3927	7.0748	6.3783	6.3472	6.5118	6.6322	6.369	6.5566
22863_at	7.0535	6.4949	7.2395	6.7394	6.9126	7.3113	7.3981	6.3505	7.1736
22864_at	7.6356	7.2553	7.1508	7.3545	7.7197	7.1642	7.3225	7.0927	7.1578
22865_at	4.0191	4.4564	4.01	4.1065	4.1797	3.9333	3.9386	4.0488	3.9603
22866_at	3.9832	4.3197	3.841	3.7531	3.9964	3.9614	3.9086	4.046	4.1603
22868_at	6.7351	6.8542	6.5357	6.1529	6.2951	6.5871	7.2058	6.63	6.5826
22869_at	6.1957	6.816	6.5755	6.3941	6.1611	6.5214	6.5463	6.6421	6.5014
2286_at	8.6349	7.6349	10.4075	9.1008	8.9883	8.0528	8.681	8.2487	8.7975
22870_at	7.5119	7.3853	7.7984	7.8555	7.7831	7.2255	7.6046	7.6181	7.2969
22871_at	3.4241	3.5617	3.4274	3.6641	3.4845	3.5418	3.6747	3.6089	3.4174
