Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
9509_at	5.64088	6.0496	5.51532	5.72088	5.62245	5.95998	5.15628	5.65282	5.8403
950_at	5.75788	6.408	6.74562	6.67478	6.58855	5.98348	6.31508	6.00893	7.5769
9510_at	5.82208	6.5746	5.40972	6.76778	6.45985	7.65988	6.70818	6.30933	6.1813
9512_at	9.03638	8.9886	8.61312	8.59147	8.60655	8.89327	9.01517	8.43502	8.3795
9513_at	7.36948	7.1298	7.80692	7.43488	7.82865	7.23538	7.25658	7.39803	7.1478
9514_at	4.78218	5.7012	4.98812	5.12538	5.12535	5.00758	4.76538	4.91262	4.9143
9515_at	5.04248	5.3978	5.10262	5.30898	5.73555	5.38778	5.23828	5.47093	5.2567
9516_at	9.79648	8.8716	9.42462	10.26948	9.91745	9.72378	9.30888	9.59042	9.5944
9517_at	7.07458	7.0041	7.40912	7.96918	7.20125	7.37178	7.41358	6.58232	7.2996
9518_at	6.11428	5.4377	8.97772	4.79288	5.81755	6.49258	6.37208	5.60043	8.4975
9519_at	6.34118	5.5595	5.14412	4.97428	5.51445	6.18468	6.12918	5.82763	6.0415
951_at	5.84028	5.471	6.04192	7.11878	7.06335	5.84138	5.22948	6.02392	5.7932
9520_at	8.70418	7.7431	8.78362	7.45948	7.56845	7.73578	8.76008	7.65233	8.2561
9521_at	8.46668	8.4031	8.49382	8.02958	7.63975	8.16748	8.40198	9.19142	8.0887
9522_at	6.18508	6.0561	6.50982	5.96638	5.85515	5.70348	5.83278	5.87692	6.3722
9525_at	7.70368	8.2376	7.91962	6.23958	6.67215	7.82258	7.72438	7.46372	8.0835
9526_at	7.91508	6.6246	8.21152	7.56178	7.11715	6.90028	6.88688	6.63562	8.6091
9527_at	7.01308	7.3281	7.41512	6.99158	9.46005	6.87948	7.20128	6.98772	7.0167
9528_at	10.52048	10.2252	11.89472	10.45798	9.60105	11.10987	11.05578	11.10652	11.379
9529_at	7.40608	7.7153	7.72952	7.71918	7.41345	7.52868	7.57848	7.44672	7.6469
952_at	6.82148	7.4402	6.82232	8.29567	8.58825	6.79098	6.37348	7.25832	6.5043
9530_at	5.11248	5.8009	5.33782	5.08088	5.02955	4.80508	5.17098	5.31273	5.3528
9531_at	8.47558	8.5599	9.06062	7.95598	6.85355	8.49448	7.22528	8.28652	9.1825
9532_at	5.13788	4.8324	4.54332	4.88318	4.57485	5.43628	4.71718	4.99033	5.0317
9533_at	6.99708	7.1543	7.44342	6.88898	7.44975	7.21198	7.45148	7.34262	6.9573
9534_at	3.50058	3.8031	3.96892	3.63718	3.82135	3.60458	3.75398	3.76553	3.8943
9535_at	7.23098	6.8653	6.88542	7.64218	7.97705	7.17578	6.19718	7.09002	6.8188
9536_at	7.37298	7.9645	6.96672	7.02218	6.80245	7.07768	7.24338	7.71673	7.1823
9537_at	6.67598	6.7007	6.54002	7.59988	6.52435	6.99758	7.54298	6.69472	6.8199
9538_at	8.32468	7.7674	7.65132	8.37258	8.18995	8.50848	8.89937	8.08362	8.0247
953_at	6.64818	6.2346	6.08622	6.62638	6.37115	6.44888	5.69538	6.72972	6.922
9540_at	7.84448	7.8948	6.84002	7.59088	7.06635	7.67388	6.98618	7.99202	7.7415
9541_at	5.69708	5.5326	6.49182	5.64328	6.18265	5.94898	6.26768	5.96663	5.6135
9542_at	4.02508	4.4706	4.20692	4.27187	4.43215	4.05308	4.04308	4.17973	4.1719
9545_at	6.02728	6.4122	6.48052	6.55978	6.26725	6.31998	5.93858	6.49812	6.5445
9546_at	6.71778	7.6818	6.86442	6.82597	6.85885	6.64718	6.57998	6.92342	6.4456
9547_at	13.01998	8.9465	6.96022	9.20607	6.73395	11.46308	10.10868	10.45452	12.7034
954_at	4.95298	5.9401	5.05352	5.17038	5.46095	4.85078	4.82708	5.24992	5.0146
9550_at	10.27708	9.4608	11.15582	10.83878	10.15885	10.53768	10.73568	10.72372	10.3895
9551_at	11.30418	11.0099	10.37412	10.89578	10.89555	11.33008	11.32598	11.60363	10.5488
9552_at	8.98868	8.5004	9.21322	8.72388	8.94885	8.61618	8.36127	8.90272	8.6741
9553_at	9.19068	9.5349	9.62062	9.03238	8.07625	9.43188	9.20348	8.87002	9.316
9555_at	9.67258	9.4924	9.59272	9.25388	9.34375	9.26217	9.66808	9.45872	9.8775
9556_at	9.07818	9.7963	8.88402	8.66268	8.58005	8.81048	9.32678	9.12892	8.9092
9557_at	6.77058	7.2118	6.98532	6.99258	7.52155	6.89428	7.07228	7.02693	6.8285
9559_at	9.50288	8.7767	9.88022	9.23578	8.70685	9.70988	9.82317	9.58522	9.6092
955_at	8.16128	7.6964	8.43532	7.86228	7.64985	7.66238	8.03308	7.96703	7.9114
9562_at	6.26658	6.5115	6.34532	5.51128	5.39315	5.72668	5.65268	5.39423	6.0556
9563_at	6.26338	6.7757	6.07622	6.56328	6.40845	6.20708	6.43218	6.50682	6.6452
9567_at	6.57028	7.1837	6.93722	6.87268	7.17615	6.68038	6.84878	6.69723	6.834
95681_at	5.32068	5.8901	5.22192	5.78498	5.66025	5.58028	5.44308	5.58403	5.7568
9568_at	4.48698	4.7913	4.80202	5.32217	5.29505	4.61918	4.61368	4.94502	4.7638
