Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
79948_at	5.94916	5.86978	5.71762	6.02869	6.01866	5.88984	5.78623	6.0038	5.69052
7994_at	6.28753	6.24813	6.32747	6.36992	6.31517	6.29923	6.36067	6.36736	6.37803
79953_at	6.68337	6.69534	5.9716	6.30668	6.07255	7.05355	5.88177	6.59755	7.13304
79954_at	4.62671	4.56047	4.83742	4.72985	4.74229	4.6483	4.66615	5.07079	4.70645
79955_at	5.86368	5.55831	5.84192	5.89071	6.16147	5.82042	5.63123	5.91706	5.79822
79956_at	8.31011	8.06746	8.54416	8.60564	8.46237	8.93526	8.6992	8.62155	8.41951
79957_at	6.54978	6.8251	6.71127	7.08712	7.01242	8.33843	6.826	6.79128	6.60842
79958_at	5.85755	6.35492	6.04126	6.45383	6.68447	5.81424	5.48847	5.80747	6.16747
79959_at	4.47434	4.5204	4.78683	4.31506	4.34732	4.5251	4.79229	4.38809	4.68411
79960_at	7.24268	7.86046	8.63005	7.66484	8.04065	7.82224	7.23368	7.81568	7.9713
79961_at	8.16831	8.81103	9.15366	8.0914	8.11342	8.63126	8.61803	8.21309	8.57646
79962_at	5.74482	5.34717	4.8437	5.6793	5.62744	5.5712	5.50195	5.34437	5.76691
79963_at	4.16707	3.83809	4.3064	3.95328	4.1062	4.59575	4.58533	4.11046	4.16221
79968_at	4.55442	5.04533	4.82566	4.65926	5.10854	4.91505	4.84835	4.6483	4.77468
79969_at	6.56782	7.20915	6.57306	6.54081	7.16564	6.77584	6.89619	6.78649	6.45969
79970_at	6.6407	6.57882	6.42262	6.70208	6.68284	6.56782	6.92443	6.71304	6.25895
79971_at	6.40737	6.62397	7.34556	5.77862	5.83903	7.38105	7.1498	7.7117	6.53424
79973_at	3.91792	3.97332	3.61623	3.79065	3.85893	3.99233	3.77041	3.79542	3.75311
79974_at	5.19116	5.74267	5.08477	5.13259	5.30842	5.20324	4.89433	5.61539	5.15578
79977_at	7.57917	8.62058	7.89995	7.5049	8.5313	7.19801	7.59784	7.76338	7.61901
79979_at	7.03566	7.63405	6.80644	6.90107	7.38673	6.86443	6.98076	6.97152	6.98504
79980_at	5.16498	4.55497	4.30011	4.65037	5.301	4.72155	4.51915	4.43177	4.66755
79981_at	6.59192	6.96325	6.88038	6.80644	6.58024	6.7204	6.58506	6.99473	6.55317
