Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
83737_at	5.80085	6.07894	5.86979	5.98248	5.88902	5.75992	5.76579	5.81843	6.12968
83743_at	7.23484	7.99	7.59881	7.62948	8.35532	7.62826	7.56096	7.53161	7.13737
83744_at	5.33032	5.49187	5.33482	5.1801	5.1819	5.30619	5.39577	5.44994	5.34835
83759_at	7.88159	8.20081	7.37986	7.24646	8.6433	7.71894	7.2591	8.05598	7.8703
83786_at	6.69576	7.4265	6.79071	6.87491	6.40948	6.33801	6.64559	7.00848	7.22338
8379_at	5.14647	4.29738	6.09899	5.58797	5.52444	5.07227	5.81031	5.13845	5.05632
837_at	6.5442	5.99551	6.07153	6.89704	6.37657	7.13098	6.7203	6.33501	5.89116
8382_at	8.53403	5.33032	7.3606	5.85904	5.57139	7.10621	8.00824	6.52294	6.97119
8383_at	4.73502	5.05081	4.38878	4.75046	4.88405	4.6777	4.64612	4.84531	4.85571
838_at	5.74393	5.98686	5.68656	6.15189	5.93409	5.71959	5.8573	5.72664	5.82869
8390_at	5.87102	6.44198	6.00267	5.92854	5.90588	5.92598	5.82629	6.0938	6.05095
8392_at	6.08812	6.97296	6.35104	6.28819	6.43877	6.25189	6.38604	6.45794	6.26279
83937_at	5.89587	5.60166	5.81439	5.94649	7.16179	5.62371	5.62739	5.85417	5.92287
83941_at	7.54373	7.53161	7.62335	6.6229	6.1523	7.80085	7.53205	7.39501	7.68256
83942_at	4.16148	4.29656	4.44531	4.54256	4.44818	4.09866	4.2408	4.43701	4.05998
8394_at	6.70056	7.21664	6.52697	6.93438	6.94283	6.95626	6.85056	7.17072	7.13027
83955_at	11.67798	11.97599	11.25099	11.2778	11.21696	11.69669	11.93033	11.46031	11.15621
8395_at	5.38957	6.29439	5.24671	6.4431	5.14999	5.67703	4.99776	5.22727	5.07463
8396_at	7.30636	7.85927	7.54999	7.38225	9.86491	7.69231	7.70992	8.13528	7.33312
83988_at	6.45243	5.7766	8.5671	6.55287	6.99479	6.20451	5.80483	6.7702	5.88297
83989_at	7.4702	6.42562	7.40482	6.24922	6.8035	7.25283	7.35264	6.7614	7.35595
8398_at	6.94475	7.39349	7.14663	7.37815	7.34607	6.90361	7.10525	7.33206	7.19911
83990_at	3.92853	4.02036	4.00135	3.86614	4.13747	4.01855	4.04713	3.91831	3.86711
8399_at	8.26866	6.42614	5.23537	4.68097	4.61339	5.05236	4.27537	4.31173	7.29919
839_at	7.21636	7.49182	7.31478	7.311	7.73252	7.54932	8.20816	7.55013	7.63754
8402_at	7.90559	7.7714	7.89436	7.16757	7.52861	7.14195	6.86895	7.1244	7.85565
8403_at	4.30773	4.15394	4.21163	4.52266	4.26353	4.15838	4.28657	4.35462	4.16547
8404_at	10.51115	8.35282	9.23191	9.99492	8.92881	11.58341	10.1078	10.79858	9.62992
8405_at	8.69219	9.34357	8.66038	10.64529	7.85889	8.03417	8.38031	9.20787	8.52561
84060_at	4.67724	4.65478	3.95571	3.97278	3.73038	4.52296	4.59084	3.76992	4.69078
84061_at	7.19627	5.68794	6.73669	6.58937	6.47041	6.23895	6.70753	5.95839	6.91172
84065_at	7.9163	7.91658	8.26661	8.08918	8.13061	8.08388	8.23868	8.34842	8.27201
8406_at	7.80958	7.02404	5.26676	6.71278	5.63126	8.81096	7.14293	7.80759	7.36188
84079_at	7.53253	6.70255	7.05179	7.16179	6.65598	6.90257	7.22463	6.5681	6.98344
8407_at	9.27844	8.65172	8.37269	9.54337	9.68129	8.73834	8.78552	9.01673	9.20637
8408_at	7.53972	7.18001	7.4512	7.99165	7.30479	7.3892	7.70079	7.6499	7.53647
8409_at	9.73139	9.0023	9.02188	9.53549	9.08958	9.40884	9.43458	9.22782	8.97493
840_at	6.81059	6.1409	5.68391	6.56374	5.23332	6.1855	5.66963	5.77172	5.57309
8411_at	3.99817	3.71728	3.75385	3.79745	3.7908	3.71271	3.74859	3.70433	4.03727
84124_at	6.66962	6.08761	6.67524	6.67153	7.05719	6.92316	7.03456	6.6969	6.14366
8412_at	5.83516	5.39774	5.89881	5.00622	5.08564	6.16885	5.1479	5.58205	5.79345
84148_at	6.43566	6.09549	6.12704	6.42493	6.56819	6.43216	6.37528	6.1895	5.96676
84159_at	9.37873	8.30607	6.3957	9.02188	9.06805	9.55959	8.96951	8.67843	8.92086
84162_at	5.89433	5.8506	6.1419	5.87752	6.03523	6.02818	6.08608	5.96737	6.17092
84164_at	5.76855	5.15747	6.5026	6.80317	6.53184	5.98823	6.79987	5.51348	5.78111
84168_at	4.41742	3.9802	4.29013	4.37451	4.17005	4.21487	4.34164	4.31239	4.6334
8416_at	7.55594	7.71825	6.65379	5.43676	5.42777	6.45675	6.26917	5.73367	7.10248
84179_at	5.68504	5.74586	7.20105	6.71698	6.0518	5.90703	6.39717	6.46525	5.80101
8417_at	7.69543	7.42466	7.48583	7.67518	7.46424	7.73604	7.42775	7.70163	7.4408
84187_at	7.9222	8.54942	7.35071	7.32075	8.6153	8.22654	7.81438	8.34538	7.82731
8418_at	5.59554	5.11025	4.5682	6.99536	5.66503	6.64246	5.64627	5.57131	5.15353
84193_at	8.34514	9.01919	8.60784	8.38443	8.06813	8.11056	8.25741	7.91736	7.96246
84196_at	6.03139	6.5405	6.24753	5.88873	6.32087	6.06735	5.99007	6.33824	6.09058
8419_at	4.51172	4.46988	4.46226	4.54424	4.7317	4.74229	4.41028	4.6861	4.57378
841_at	6.28192	5.90875	6.00857	6.429	6.39004	6.01777	6.80464	5.97084	5.79929
8420_at	4.61051	4.4737	4.64188	4.55484	4.45682	4.70121	4.62198	4.95064	4.43502
84223_at	6.67329	7.01302	6.35163	6.18483	6.41035	6.30231	6.59398	6.05518	6.08017
84243_at	6.74262	7.02709	6.45565	7.04521	7.09564	6.73078	6.6432	6.88372	6.49346
8424_at	4.50905	4.60894	4.24339	5.07523	6.6432	4.6013	4.31978	5.41613	3.99492
8425_at	5.99926	6.22666	6.1904	6.15128	6.14925	6.23062	5.97609	6.26074	6.16816
84263_at	6.14625	5.34835	5.3941	5.12117	5.55763	5.92083	6.62818	5.28971	5.66097
84271_at	7.14273	7.19554	7.51953	7.36467	7.18926	7.12451	7.26811	7.18926	7.27149
84272_at	4.2916	4.09398	4.55724	4.2015	3.81615	4.25599	4.28688	4.1092	4.36335
8427_at	6.92373	6.83511	7.53915	7.59123	7.08605	7.04979	7.48607	7.19505	6.86564
